UTC,LAT,LONG,HDT,COG,STW,SOG,LOG,AWS,AWA,DPT,SEA,PITCH,ROLL
2024-06-15T08:12:00+00:00,59.4779427,24.8055662,83.98,103.04,1.09,1.16,179799,2.2,-102.74,19.7,17.0,0.56,6.16
2024-06-15T08:12:01+00:00,59.4779386,24.8055854,83.56,98.36,1.03,1.13,179800,1.76,-102.77,19.7,17.0,2.32,6.19
2024-06-15T08:12:02+00:00,59.477938,24.8056063,83.48,95.53,0.96,1.05,179801,1.53,-106.7,19.8,17.0,1.56,5.86
2024-06-15T08:12:03+00:00,59.4779381,24.805625,83.06,94.69,0.95,1.02,179802,1.55,-99.83,19.8,17.0,0.44,5.78
2024-06-15T08:12:04+00:00,59.4779383,24.8056451,82.65,93.65,1.04,1.1,179803,1.58,-96.71,19.6,17.0,0.77,6.2
2024-06-15T08:12:05+00:00,59.4779382,24.8056636,82.6,92.97,1.04,1.08,179804,1.71,-85.85,19.6,17.0,1.91,6.49
2024-06-15T08:12:06+00:00,59.4779402,24.8056812,82.72,92.15,1,1.02,179805,2.01,-81.45,19.6,17.0,1.55,6.37
2024-06-15T08:12:07+00:00,59.4779404,24.8056991,81.95,95.35,1.04,1.09,179806,2.08,-74.72,19.5,17.0,-0.03,6.11
2024-06-15T08:12:08+00:00,59.4779385,24.8057185,81.35,97.04,1.1,1.15,179807,2.13,-70.74,19.5,17.0,0.97,6.06
2024-06-15T08:12:09+00:00,59.4779372,24.8057368,81.41,93.01,1.12,1.14,179808,2.2,-70.97,19.5,17.0,1.92,5.64
2024-06-15T08:12:10+00:00,59.4779374,24.8057555,81.37,90.59,0.98,1.07,179809,2.37,-71.97,19.6,17.0,1.4,5.19
2024-06-15T08:12:11+00:00,59.477938,24.8057749,81.1,93.16,1.06,1.04,179810,2.51,-74.27,19.5,17.0,0.64,6.22
2024-06-15T08:12:12+00:00,59.4779376,24.8057968,80.48,94.32,1.12,1.12,179811,2.5,-76.26,19.4,17.0,0.61,7.23
2024-06-15T08:12:13+00:00,59.4779359,24.8058196,79.65,94.02,1.12,1.14,179812,2.49,-79.84,19.3,17.0,1.74,7.34
2024-06-15T08:12:14+00:00,59.4779359,24.8058407,79.33,90.73,1.14,1.11,179813,2.49,-82.51,19.3,17.0,1.22,7.11
2024-06-15T08:12:15+00:00,59.4779357,24.8058602,78.55,92.22,1.16,1.13,179815,2.49,-82.16,19.3,17.0,0.76,7.39
2024-06-15T08:12:16+00:00,59.4779353,24.8058807,77.64,93.07,1.09,1.22,179816,2.49,-80.87,19.3,17.0,0.77,7.71
2024-06-15T08:12:17+00:00,59.4779338,24.8059032,76.91,91.99,1.12,1.24,179817,2.49,-79.03,19.3,17.0,1.58,7.47
2024-06-15T08:12:18+00:00,59.4779339,24.8059238,77.37,85.34,1.1,1.16,179818,2.5,-77.57,19.3,17.0,1.58,7.18
2024-06-15T08:12:19+00:00,59.4779354,24.8059434,78.31,81.43,1.16,1.17,179819,2.52,-75.62,19.3,17.0,0.49,7.1
2024-06-15T08:12:20+00:00,59.4779362,24.8059652,78.94,85.6,1.2,1.2,179820,2.53,-74.5,19.2,17.0,1.19,7.42
2024-06-15T08:12:21+00:00,59.4779371,24.8059876,79.76,82.99,1.16,1.21,179821,2.53,-75.54,19.2,17.0,1.46,7.29
2024-06-15T08:12:22+00:00,59.4779379,24.8060094,80.07,87.0,1.17,1.19,179822,2.53,-74.49,19.1,17.0,1.24,7.25
2024-06-15T08:12:23+00:00,59.4779379,24.8060314,79.43,92.32,1.27,1.26,179824,2.54,-73.99,19.0,17.0,0.49,7.08
2024-06-15T08:12:24+00:00,59.477937,24.8060551,78.52,93.37,1.26,1.35,179825,2.55,-73.76,19.0,17.0,0.89,7.06
