UTC,LAT,LONG,HDT,COG,STW,SOG,LOG,AWS,AWA,DPT,SEA,PITCH,ROLL
2024-07-10T15:30:00+00:00,59.4736104,24.7948446,345.15,336.31,3.16,3.23,397116,9.39,63.79,24.3,19.9,-1.85,-7.67
2024-07-10T15:30:01+00:00,59.4736377,24.7948245,347.33,340.21,3.18,3.24,397119,10.57,64.78,24.3,19.9,-2.06,-7.56
2024-07-10T15:30:02+00:00,59.473666,24.7948081,346.92,345.52,3.06,3.25,397122,10.53,65.83,24.3,19.9,-0.99,-7.64
2024-07-10T15:30:03+00:00,59.4736948,24.7947935,347.01,344.7,3.21,3.32,397126,10.5,65.58,24.4,19.9,-2.54,-6.05
2024-07-10T15:30:04+00:00,59.4737223,24.7947754,347.56,340.77,3.21,3.29,397129,9.61,65.94,24.4,19.9,-0.61,-6.87
2024-07-10T15:30:05+00:00,59.4737493,24.7947527,352.58,332.76,3.25,3.16,397132,9.69,65.88,24.4,19.9,-1.05,-5.71
2024-07-10T15:30:06+00:00,59.473775,24.7947267,0.58,336.1,2.9,3.15,397135,10.15,64.67,24.3,19.9,-1.31,-6.15
2024-07-10T15:30:07+00:00,59.4738011,24.7947067,11.07,343.23,2.95,2.97,397138,10.13,62.74,24.4,19.9,-0.28,-6.72
2024-07-10T15:30:08+00:00,59.473828,24.7946936,22.87,351.37,2.79,2.89,397141,10.17,59.53,24.4,19.9,-0.78,-6.47
2024-07-10T15:30:09+00:00,59.4738546,24.7946903,34.35,1.11,2.76,2.74,397144,11.7,55.31,24.4,19.9,-1.58,-5.23
2024-07-10T15:30:10+00:00,59.4738773,24.794704,42.16,24.12,2.64,2.57,397146,12.14,42.47,24.3,19.9,-0.98,-3.53
2024-07-10T15:30:11+00:00,59.4738949,24.7947284,46.93,35.47,2.76,2.37,397149,12.08,30.99,24.4,19.9,1.22,-2.89
2024-07-10T15:30:12+00:00,59.4739098,24.7947532,52.13,38.24,2.48,2.12,397151,11.12,23.42,24.4,19.9,0.57,-1.44
2024-07-10T15:30:13+00:00,59.4739247,24.7947757,59.26,33.23,2.21,2.05,397154,11.06,12.74,24.4,19.9,-0.53,-2.42
2024-07-10T15:30:14+00:00,59.4739371,24.7948006,62.41,49.23,1.98,1.92,397156,10.99,5.79,24.3,19.9,0.11,-3.17
2024-07-10T15:30:15+00:00,59.473944,24.794831,63.58,69.87,2.08,1.88,397158,10.64,5.69,24.4,19.9,-0.27,0.76
2024-07-10T15:30:16+00:00,59.4739505,24.7948617,64.52,64.05,1.84,1.88,397160,10.63,4.58,24.3,19.9,-0.71,1.04
2024-07-10T15:30:17+00:00,59.4739582,24.7948882,65.67,65.0,1.91,1.75,397162,9.9,3.07,24.3,19.9,1.44,-0.63
2024-07-10T15:30:18+00:00,59.4739636,24.7949151,65.63,65.67,1.77,1.55,397163,9.54,2.94,24.3,19.9,0.28,0.32
2024-07-10T15:30:19+00:00,59.4739691,24.7949393,64.06,73.84,1.64,1.5,397165,9.89,2.05,24.3,19.9,0.13,0.3
2024-07-10T15:30:20+00:00,59.4739719,24.7949663,60.19,79.91,1.5,1.61,397167,9.98,1.81,24.3,19.9,-0.81,1.55
2024-07-10T15:30:21+00:00,59.4739752,24.7949938,56.34,75.98,1.49,1.54,397168,9.99,2.92,24.2,19.9,-0.19,2.01
2024-07-10T15:30:22+00:00,59.4739801,24.7950177,55.38,58.5,1.39,1.4,397169,9.92,3.11,24.4,19.9,0.57,0.95
2024-07-10T15:30:23+00:00,59.4739871,24.7950351,55.65,54.14,1.25,1.26,397171,9.52,2.73,24.4,19.9,-0.14,-1.04
2024-07-10T15:30:24+00:00,59.4739927,24.795052,55.16,58.58,1.34,1.13,397172,9.52,3.85,24.3,19.9,-0.57,-0.11
2024-07-10T15:30:25+00:00,59.4739975,24.79507,52.79,64.28,1.25,1.18,397173,9.48,5.98,24.3,19.9,-0.96,0.76
2024-07-10T15:30:26+00:00,59.474001,24.7950907,49.26,72.55,1.08,1.19,397174,9.5,7.78,24.3,19.9,0.42,1.36
2024-07-10T15:30:27+00:00,59.4740061,24.7951081,46.78,51.57,1.06,1.1,397175,9.54,9.18,24.3,19.9,-0.79,-0.7
2024-07-10T15:30:28+00:00,59.4740128,24.7951182,43.75,54.27,1.05,0.96,397176,9.54,10.58,24.3,19.9,0.56,-2.86
2024-07-10T15:30:29+00:00,59.474017,24.7951362,38.67,65.9,0.82,1.07,397177,9.52,11.76,24.3,19.9,-1.96,-0.56
2024-07-10T15:30:30+00:00,59.4740207,24.7951545,33.51,59.5,0.98,1.1,397178,9.46,15.3,24.3,19.9,-0.18,0.69
2024-07-10T15:30:31+00:00,59.4740263,24.7951715,26.14,55.87,0.88,1.14,397179,8.24,21.29,24.4,19.9,0.65,-1.0
2024-07-10T15:30:32+00:00,59.4740329,24.795183,21.14,35.53,0.82,1.02,397180,8.28,29.41,24.4,19.9,-0.69,-1.4
